교수,님,강의,열정,넘치,그러,시,지,않,이,강의,영어,얻,가,싶,비추이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교수,님,학기,초반,플밍,서투르,학생,위하,C,+,+,강의부,해주시,하나,간략,하,보,넘어가,것,무난,하,듣,기,초,C,+,+,문법,정도,예,들,업,캐스팅,같이,다소,세부적,내용,필요,없,클래스,상,속,대하,기본적,이,하,정도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
또한,북한,대하,기존,편중,되,시각,비판,하,하나,반대,북,나,우호적,태도,취하,불편,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
꼭이,PLEASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
언어,C,+,+,것,사실,좋,면도,있,나쁘,면도,있,학부,과정,C,+,+,제대로,가르치,주,과목,저학년,때,없,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이런,교수,님,강의,력,별로,별점,4,점,이상,받,되,생각,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이번,학기,비,대면,인,데,불구,매주,늦,않,미리미리,강의,올리,주,태블릿,쓰,강의,하,주,다른,과목,들,다르,이해도,생각,잘,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시험,인,강보,오프라인,배우,것,90,정도,나오,온라인,강의,부담,적,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쿨,하,설명,알차,하,주,심,다만,과목,과목,붕,뜨,느낌,있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,학년,강의,부분적,내용,다루,만큼,내용,훨씬,깊,배우,작품,들,훨씬,다양,하,지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강의,때,파이,썰,스크래치,작성,후,확인,받,때,잘,하,확인,말,잘,받,학점,잘,주,듯,온라인,강의,2,번,지각,A,+,받,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,학년,들,듣,과목,다,들,열심히,공부,하,학점,따,힘,들,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관심,도,없,대학,오,처음,접하,보,과목,빡,세,범위,넓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
배우,것,1,시험,100,나오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
